item,itemLabel,itemDescription,idTMS,idBddSalons,img,URLbddOrsay,URLbddSalons
http://www.wikidata.org/entity/Q17494295,Molière et Louis XIV,tableau de Jean Hégésippe Vetter,71078,55004,http://commons.wikimedia.org/wiki/Special:FilePath/Moli%C3%A8re%20re%C3%A7u%20par%20Louis%20XIV.jpg,https://www.musee-orsay.fr/fr/oeuvres/71078,http://salons.musee-orsay.fr/index/notice/55004
http://www.wikidata.org/entity/Q325981,Réunion de famille,tableau de Frédéric Bazille,59,186767,http://commons.wikimedia.org/wiki/Special:FilePath/BazilleFamilyReunion.jpeg,https://www.musee-orsay.fr/fr/oeuvres/59,http://salons.musee-orsay.fr/index/notice/186767
http://www.wikidata.org/entity/Q9171012,Le Pauvre Pêcheur,tableau de Pierre Puvis de Chavannes,1069,232579,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Puvis%20de%20Chavannes%20-%20The%20Poor%20Fisherman%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/1069,http://salons.musee-orsay.fr/index/notice/232579
http://www.wikidata.org/entity/Q17492956,"Le Gouffre, paysage",tableau de Paul Huet,1056,111927,,https://www.musee-orsay.fr/fr/oeuvres/1056,http://salons.musee-orsay.fr/index/notice/111927
http://www.wikidata.org/entity/Q17493105,Le Pain bénit,tableau de Pascal Dagnan-Bouveret,3086,241214,http://commons.wikimedia.org/wiki/Special:FilePath/Pascal%20Dagnan-Bouveret%20-%20Le%20pain%20b%C3%A9nit.jpg,https://www.musee-orsay.fr/fr/oeuvres/3086,http://salons.musee-orsay.fr/index/notice/241214
http://www.wikidata.org/entity/Q7142987,Portrait de Louis Pasteur,tableau d'Albert Edelfelt,9170,241468,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Edelfelt%20-%20Louis%20Pasteur%20-%201885.jpg,https://www.musee-orsay.fr/fr/oeuvres/9170,http://salons.musee-orsay.fr/index/notice/241468
http://www.wikidata.org/entity/Q17492752,Le Bosquet aux chevreuils,tableau d'Antoine Chintreuil,69721,214316,,https://www.musee-orsay.fr/fr/oeuvres/69721,http://salons.musee-orsay.fr/index/notice/214316
http://www.wikidata.org/entity/Q17494334,Mort de Francesca de Rimini et de Paolo Malatesta,tableau d'Alexandre Cabanel,1064,196396,http://commons.wikimedia.org/wiki/Special:FilePath/Inf.%2006%20Alexandre%20Cabanel%2C%20Morte%20di%20Francesca%20da%20Rimini%20e%20di%20Paolo%20Malatesta%2C%201870.jpg,https://www.musee-orsay.fr/fr/oeuvres/1064,http://salons.musee-orsay.fr/index/notice/196396
http://www.wikidata.org/entity/Q3937498,Claude Monet,tableau d'Auguste Renoir,496,57963,http://commons.wikimedia.org/wiki/Special:FilePath/Auguste%20Renoir%20-%20Claude%20Monet%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/496,http://salons.musee-orsay.fr/index/notice/57963
http://www.wikidata.org/entity/Q17490973,"Carpeaux. ""À l'artiste mourant, les Êtres nés de son génie viennent donner le baiser d'adieu""",tableau d'Albert Maignan,75381,277628,,https://www.musee-orsay.fr/fr/oeuvres/75381,http://salons.musee-orsay.fr/index/notice/277628
http://www.wikidata.org/entity/Q17490804,Avignon en décembre,tableau de Camille Dufour,70345,257041,,https://www.musee-orsay.fr/fr/oeuvres/70345,http://salons.musee-orsay.fr/index/notice/257041
http://www.wikidata.org/entity/Q17490653,"Achélaus condamné à mourir de faim dans la ville d'Olinthe par Philippe de Macédoine, son frère, dont il convoitait la couronne",tableau de Pierre Dupuis,16985,53823,,https://www.musee-orsay.fr/fr/oeuvres/16985,http://salons.musee-orsay.fr/index/notice/53823
http://www.wikidata.org/entity/Q17493150,Le Petit Écolier,tableau d'Antonio Mancini,3066,92046,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Mancini%20Le%20petit%20%C3%A9colier%201876.jpg,https://www.musee-orsay.fr/fr/oeuvres/3066,http://salons.musee-orsay.fr/index/notice/92046
http://www.wikidata.org/entity/Q17494341,Mort d'Orphée,tableau d'Émile Lévy,3642,181667,http://commons.wikimedia.org/wiki/Special:FilePath/Death%20of%20Orpheus%20by%20%C3%89mile%20L%C3%A9vy%20%281866%29.jpg,https://www.musee-orsay.fr/fr/oeuvres/3642,http://salons.musee-orsay.fr/index/notice/181667
http://www.wikidata.org/entity/Q17492912,Le Dernier Jour de Corinthe,tableau de Tony Robert-Fleury,21813,198421,http://commons.wikimedia.org/wiki/Special:FilePath/Robert-fleury-Le%20Dernier%20Jour%20de%20Corinthe.jpg,https://www.musee-orsay.fr/fr/oeuvres/21813,http://salons.musee-orsay.fr/index/notice/198421
http://www.wikidata.org/entity/Q1626128,Hommage à Delacroix,tableau d'Henri Fantin-Latour,208,53861,http://commons.wikimedia.org/wiki/Special:FilePath/Hommage%20%C3%A0%20Delacroix%20-%20Henri%20Fantin-Latour.jpg,https://www.musee-orsay.fr/fr/oeuvres/208,http://salons.musee-orsay.fr/index/notice/53861
